ObjectId,Country,ISO2,ISO3,Indicator,Unit,Measure,Date,Value
1,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Andaman Sea,D12/17/1992,-10.76
2,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Arabian Sea,D12/17/1992,-18.4
3,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Atlantic Ocean,D12/17/1992,-15.55
4,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Baltic Sea,D12/17/1992,196.2
5,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bay Bengal,D12/17/1992,2.75
6,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Caribbean Sea,D12/17/1992,-13.89
7,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Gulf Mexico,D12/17/1992,-4.4
8,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indian Ocean,D12/17/1992,-27.68
9,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indonesian,D12/17/1992,-4.52
10,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Mediterranean,D12/17/1992,39.03
11,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Nino,D12/17/1992,-3.25
12,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Pacific,D12/17/1992,19.35
13,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Sea,D12/17/1992,43.41
14,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Pacific Ocean,D12/17/1992,-14.96
15,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Persian Gulf,D12/17/1992,133.91
16,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Japan,D12/17/1992,-47.02
17,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Okhotsk,D12/17/1992,-4.34
18,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,South China,D12/17/1992,-5.28
19,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Southern Ocean,D12/17/1992,-24.52
20,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Tropics,D12/17/1992,-19.76
21,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,World,D12/17/1992,-16.08
22,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Yellow Sea,D12/17/1992,-70.64
23,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Adriatic Sea,D12/18/1992,9.66
24,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bering Sea,D12/18/1992,-5.16
25,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Atlantic,D12/18/1992,-0.53
26,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Andaman Sea,D12/26/1992,-3.06
27,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Baltic Sea,D12/26/1992,227.4
28,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bay Bengal,D12/26/1992,11.15
29,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Mediterranean,D12/26/1992,-12.97
30,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Sea,D12/26/1992,62.71
31,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Persian Gulf,D12/26/1992,111.61
32,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Japan,D12/26/1992,-23.42
33,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Sea Okhotsk,D12/26/1992,-38.04
34,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,South China,D12/26/1992,-16.58
35,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Arabian Sea,D12/27/1992,8.2
36,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Atlantic Ocean,D12/27/1992,-10.45
37,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bering Sea,D12/27/1992,-30.66
38,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Caribbean Sea,D12/27/1992,-2.79
39,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Gulf Mexico,D12/27/1992,-14.2
40,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indian Ocean,D12/27/1992,-10.08
41,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Indonesian,D12/27/1992,2.38
42,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Nino,D12/27/1992,-9.05
43,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Atlantic,D12/27/1992,-0.83
44,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,North Pacific,D12/27/1992,-8.55
45,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Pacific Ocean,D12/27/1992,-27.26
46,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Southern Ocean,D12/27/1992,-16.82
47,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Tropics,D12/27/1992,-22.46
48,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,World,D12/27/1992,-17.78
49,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Yellow Sea,D12/27/1992,-44.44
50,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Adriatic Sea,D12/28/1992,-51.44
51,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Baltic Sea,D01/04/1993,-3.6
52,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,South China,D01/04/1993,-18.18
53,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Andaman Sea,D01/05/1993,-79.46
54,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Arabian Sea,D01/05/1993,32.2
55,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Atlantic Ocean,D01/05/1993,-12.45
56,World,,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Millimeters,Bay Bengal,D01/05/1993,28.05
