radius,x,y
16,306,296
3,242,210
21,133,314
21,146,89
6,83,271
19,60,179
22,326,152
24,297,340
10,116,115
22,307,166
19,2,247
20,187,71
16,192,52
3,221,326
24,46,342
13,69,50
14,242,35
4,160,333
17,44,251
12,317,39
8,52,176
14,3,172
22,232,191
12,189,102
2,169,171
24,198,56
4,312,27
16,230,234
18,241,255
16,296,48
16,272,134
7,318,253
17,340,75
19,219,340
11,176,343
23,110,95
25,178,219
4,9,233
1,250,141
14,98,298
24,322,182
3,222,222
0,96,317
24,135,337
24,123,294
20,119,64
21,297,119
14,270,349
16,345,258
21,241,177
5,249,323
10,47,162
12,338,177
0,181,3
13,199,223
15,248,293
21,195,242
10,58,123
6,161,197
12,282,182
8,182,68
13,191,329
24,145,306
14,158,49
6,256,5
8,216,212
2,195,294
24,87,20
3,298,162
21,102,199
6,348,270
4,338,71
22,128,282
3,144,310
2,60,63
13,139,153
0,272,208
4,290,320
24,30,318
23,111,67
17,203,30
16,202,263
6,197,224
1,34,186
18,309,170
11,342,200
24,31,20
16,147,157
10,2,126
22,299,253
1,9,128
0,289,193
15,18,340
5,252,295
14,156,37
17,63,80
4,215,141
11,258,264
6,295,37
17,77,170
