iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2022-03-10,175893.0,368.0,239.857,7639.0,3.0,2.857,4415.492,9.238,6.021,191.764,0.075,0.072,0.94,,,,,,,,,889430.0,,22.328,,1301.0,0.033,0.133,7.5,tests performed,5597130.0,4952744.0,4281934.0,,,8839.0,14.05,12.43,10.75,,222.0,6527.0,0.016,19.44,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2022-03-11,11412768.0,17036.0,8484.0,250750.0,114.0,228.571,8309.341,12.403,6.177,182.565,0.083,0.166,,,,,,,,,,,,,,,,,,,423071112.0,264957559.0,195455597.0,14460783.0,2465104.0,1782660.0,30.8,19.29,14.23,1.05,1298.0,934647.0,0.068,,1373486472.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2022-03-10,272479.0,67.0,93.429,3484.0,1.0,1.429,94843.46,23.321,32.52,1212.698,0.348,0.497,0.53,,,,,,,,,1595314.0,1239.0,555.291,0.431,757.0,0.263,0.123,8.1,tests performed,2729969.0,1274514.0,1206964.0,248491.0,,2363.0,95.02,44.36,42.01,8.65,823.0,413.0,0.014,35.19,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2022-03-10,265366.0,20.0,33.714,6861.0,1.0,1.857,5947.693,0.448,0.756,153.777,0.022,0.042,0.34,10.0,0.224,,,,,,,230553.0,,5.167,,,,,,tests performed,,,,436274.0,,,,,,0.98,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,2022-03-10,38794.0,0.0,64.571,152.0,0.0,0.143,501512.527,0.0,834.752,1964.992,0.0,1.847,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,2022-03-10,98855.0,0.0,15.571,1900.0,0.0,0.0,2913.188,0.0,0.459,55.992,0.0,0.0,0.76,,,,,,,,,1453019.0,1459.0,42.819,0.043,3222.0,0.095,0.005,206.9,tests performed,16633167.0,10780927.0,5609044.0,258168.0,,46695.0,49.02,31.77,16.53,0.76,1376.0,23708.0,0.07,60.19,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,2022-03-10,2574.0,0.0,2.714,9.0,0.0,0.0,170181.818,0.0,179.457,595.041,0.0,0.0,,,,,,,,,,,,,,,,,,,22420.0,10439.0,9562.0,2419.0,,6.0,148.23,69.02,63.22,15.99,397.0,0.0,0.0,,15125.0,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,2022-03-10,7461.0,0.0,1.714,135.0,0.0,0.0,75571.267,0.0,17.364,1367.393,0.0,0.0,0.38,,,,,,,,,,,,,,,,,,125031.0,63704.0,61327.0,,305.0,65.0,126.64,64.52,62.12,,658.0,24.0,0.024,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,2022-03-10,8961595.0,6137.0,5722.714,127009.0,54.0,68.286,196501.113,134.566,125.482,2784.929,1.184,1.497,0.69,916.0,20.085,,,,,,,34619043.0,31592.0,759.093,0.693,33742.0,0.74,0.056,17.9,tests performed,94773522.0,40466592.0,36330882.0,17678760.0,278519.0,119432.0,207.81,88.73,79.66,38.76,2619.0,11179.0,0.025,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2022-03-10,421714.0,122.0,136.714,8563.0,3.0,8.286,142080.8,41.103,46.061,2884.983,1.011,2.792,0.4,,,,,,,,,2931172.0,2759.0,987.549,0.93,2881.0,0.971,0.041,24.4,tests performed,2031732.0,1087524.0,920978.0,23230.0,,5549.0,68.45,36.64,31.03,0.78,1870.0,509.0,0.017,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
ABW,North America,Aruba,2022-03-10,33732.0,0.0,6.857,212.0,0.0,0.143,314678.856,0.0,63.969,1977.704,0.0,1.333,,,,,,,,,,,,,,,,,,,168309.0,87620.0,80689.0,,113.0,45.0,157.01,81.74,75.27,,420.0,22.0,0.021,,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
OWID_ASI,,Asia,2022-03-11,124375999.0,749919.0,718566.286,1372854.0,1950.0,1902.571,26584.901,160.292,153.591,293.442,0.417,0.407,,,,,,,,,,,,,,,,,,,7485535826.0,3414970875.0,3068551373.0,879825256.0,14147162.0,13605175.0,160.0,72.99,65.59,18.81,2908.0,2244255.0,0.048,,4678444992.0,,,,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2022-03-11,3527894.0,31689.0,29421.571,5550.0,30.0,28.0,136802.556,1228.817,1140.892,215.215,1.163,1.086,1.22,103.0,3.994,1692.0,65.611,,,,,64470080.0,110525.0,2499.982,4.286,84505.0,3.277,0.359,2.8,tests performed,54842227.0,22117596.0,20626131.0,12098500.0,0.0,60528.0,212.66,85.77,79.98,46.91,2347.0,4522.0,0.018,43.98,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,2022-03-11,3022079.0,49432.0,35212.857,15136.0,23.0,30.286,334187.21,5466.284,3893.904,1673.767,2.543,3.349,1.07,178.0,19.684,2687.0,297.134,,,,,165347447.0,470532.0,18284.433,52.032,546443.0,60.427,0.069,14.5,tests performed,18083087.0,6806956.0,6578161.0,5048128.0,,4573.0,199.97,75.27,72.74,55.82,506.0,477.0,0.005,43.52,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,2022-03-11,790153.0,270.0,316.571,9575.0,17.0,14.571,77289.094,26.41,30.966,936.582,1.663,1.425,0.34,,,,,,,,,6622919.0,3512.0,647.823,0.344,5920.0,0.579,0.054,18.7,tests performed,13224872.0,5312204.0,4800732.0,2894880.0,22315.0,16690.0,129.36,51.96,46.96,28.32,1633.0,967.0,0.009,,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,
