userid,recipeid,rating
179,9186842,3
191,5018642,4
158,347106,5
123,1256497,4
186,5442448,1
111,4717755,4
106,2385854,5
177,8641568,3
154,374571,3
130,7190689,1
179,9202908,3
165,3205352,3
195,174389,3
151,2867275,2
172,5487114,1
136,7517664,2
164,3327160,4
183,1499958,3
129,8572052,3
131,6222657,1
124,7264125,4
165,5490261,2
138,7400793,4
154,7571208,2
144,2047319,4
129,381630,5
121,6741431,1
151,4118226,5
179,7457211,3
183,3880997,5
196,4850595,5
182,7157636,3
162,462663,2
131,5548319,2
184,6051494,2
181,8907551,4
159,7204864,4
145,8246867,1
107,5975068,2
120,8256838,1
189,4148422,4
195,691037,2
173,3361585,2
184,9239565,4
163,1948212,4
157,4698074,3
107,288269,4
135,4472568,1
126,4990952,4
140,5191297,5
154,2853868,3
102,466304,2
198,1432101,3
112,2505057,5
107,7041525,4
127,3885248,2
115,908013,2
104,7865379,2
131,3060962,4
114,3200931,1
114,3876034,2
166,3470275,3
177,6685107,2
128,7444807,4
105,7483097,5
183,7069969,3
164,3755044,2
126,3621576,2
131,7630865,2
121,8341859,2
170,5058686,2
157,3575530,1
102,3828628,3
153,6279323,2
185,4097381,1
130,4223908,5
169,6044025,2
167,1756186,5
179,6403644,2
102,8294365,4
179,5059064,5
197,3623360,3
106,674765,4
138,2598005,3
189,8533639,4
131,1242164,3
110,8515656,3
181,362494,4
144,404670,4
181,5815559,4
136,8181690,4
184,3163822,4
170,6905065,2
192,4298606,4
159,3729740,2
114,4352946,4
138,1343883,2
199,4170747,4
102,4159508,3
139,7306635,2
180,542883,3
113,3571091,5
118,8614900,5
107,6080219,1
119,8524393,3
172,2695603,3
112,223853,5
136,4366225,4
143,4181867,3
120,6948049,2
180,5319604,3
122,6009548,2
120,2719000,4
117,3838737,5
163,7308348,2
101,636977,4
147,368510,2
156,5125299,2
135,1130772,2
138,9160096,3
183,8508930,2
152,4138569,2
159,7812004,4
194,2761497,2
161,5386407,2
106,6384888,2
154,3301993,5
100,7935906,3
192,8787443,3
185,1129203,3
129,3092883,3
128,338984,5
128,5741615,5
192,2801724,2
103,1080938,5
129,3825831,4
176,1186308,3
137,5842549,4
151,706599,4
117,5163373,3
105,2955371,2
162,3973579,2
195,3891692,2
181,7936546,4
108,6103892,3
158,7616409,2
124,2882955,4
133,7338142,4
175,8422073,3
193,1834920,3
165,6779740,3
199,4116203,3
195,2904457,3
161,2695202,3
110,4601719,2
173,2810548,2
111,5745730,4
194,2933227,2
139,1959409,2
154,8662879,1
175,8642194,3
168,3597571,3
137,2874585,1
162,7962761,4
171,8198552,2
196,4578574,4
155,1695909,2
147,4920170,5
142,2773654,3
151,8709313,2
130,8612130,3
163,5383463,2
164,3003531,4
123,4646183,5
150,513141,4
144,8053864,1
153,6955235,3
167,8267733,2
132,6994260,4
194,2976256,2
192,2160761,3
117,8742460,2
125,232427,3
100,7052926,2
163,8338475,4
110,1158952,3
163,8763930,2
173,5958165,4
106,6397024,5
150,5844523,3
178,8190788,3
165,7280595,3
135,1854782,4
137,336445,3
197,6797735,4
107,709156,1
166,1821868,4
173,5203784,5
192,397584,1
168,5696166,5
131,4532106,3
147,7379524,2
102,5659669,4
117,4987290,1
110,4137865,3
119,277878,1
185,790348,2
108,4749777,2
156,7303282,2
118,2724102,4
101,2813450,1
113,827404,3
124,1603041,3
156,1388281,2
184,2725695,5
192,2903380,1
130,8130448,4
126,2890705,3
136,5040370,3
112,4777143,3
150,3306327,2
193,5141345,4
158,3518539,4
171,99353,2
151,321729,3
140,5691505,1
175,600684,5
161,9250823,4
190,2275399,4
168,9072197,2
174,9177143,2
139,5675777,3
197,5204631,5
137,966392,2
150,8202947,5
172,4781021,5
136,5343241,4
129,6201962,3
152,6154230,2
134,7399089,2
118,6689889,2
195,950011,1
